uniprot_accession,standard_inchi_key,canonical_smiles,compound_name,protein_fragment,avg_predictions
Q6YMS4,KJHKTHWMRKYKJE-SUGCFTRWSA-N,Cc1cccc(C)c1OCC(=O)NC(Cc1ccccc1)C(O)CC(Cc1ccccc1)NC(=O)C(C(C)C)N1CCCNC1=O,Lopinavir,NS1_DEN2B Dengue virus 2,5.2586164474487305
Q6YMS4,KXDIHAQCVNNLIB-UHFFFAOYSA-N,N#Cc1cc(Cl)cc(Oc2cc(OCc3[nH]nc4nc(N)ccc34)ccc2Cl)c1,MK-4965,NS1_DEN2B Dengue virus 2,5.179931744933128
Q6YMS4,ILAYIAGXTHKHNT-UHFFFAOYSA-N,Cc1cc(C)c(Nc2ccnc(Nc3ccc(C#N)cc3)n2)c(C)c1,Dapivirine,NS1_DEN2B Dengue virus 2,4.905306935310364
Q6YMS4,BEUQXVWXFDOSAQ-UHFFFAOYSA-N,Cc1nc(-c2cn3c(n2)-c2ccc(-c4cnn(C(C)(C)C(N)=O)c4)cc2OCC3)n(C(C)C)n1,Taselisib,NS1_DEN2B Dengue virus 2,4.900876104831696
Q6YMS4,QHMBSVQNZZTUGM-ZWKOTPCHSA-N,C=C(C)C1CCC(C)=CC1c1c(O)cc(CCCCC)cc1O,Cannabidiol,NS1_DEN2B Dengue virus 2,4.8526396825909615
Q6YMS4,QWLNINWUBHHOLU-UHFFFAOYSA-N,Cn1c(=O)c(C(=O)NCCO)c(O)c2ncc(Cc3ccc(F)cc3)cc21,GSK-364735,NS1_DEN2B Dengue virus 2,4.833904400467873
Q6YMS4,RXBWRFDZXRAEJT-SZNOJMITSA-N,CC(C)C(NC(=O)c1ccc2ccccc2n1)C(=O)NC(Cc1ccccc1)C(O)CN1CCC(OCc2ccncc2)CC1C(=O)NC(C)(C)C,PALINAVIR,NS1_DEN2B Dengue virus 2,4.813932448625565
Q6YMS4,MJIHNNLFOKEZEW-UHFFFAOYSA-N,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1,Lansoprazole,NS1_DEN2B Dengue virus 2,4.812361471354961
Q6YMS4,DenvInD_219,C1=CC=C(C(=C1)COC2=CC=C(C=C2)C(C(=O)N)NC(=O)C(CCCCN)NC(=O)C(CCCN=C(N)N)NC(=O)C3=CC4=C(S3)C=CS4)C(F)(F)F,127040512,NS1_DEN2B Dengue virus 2,4.800425052642822
Q6YMS4,WFTSRDISOMSAQC-ZNFOTRSXSA-N,CCN(CC)CCn1c2c(c3ccc(OC)cc31)CCN1CC3CC(OC(=O)c4cc(OC)c(OC)c(OC)c4)C(OC)C(C(=O)OC)C3CC21,BIETASERPINE,NS1_DEN2B Dengue virus 2,4.788837466388941
Q6YMS4,CJXAEXPPLWQRFR-UHFFFAOYSA-N,Clc1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1,Clemizol,NS1_DEN2B Dengue virus 2,4.7686622813344
Q6YMS4,NCDNCNXCDXHOMX-XGKFQTDJSA-N,CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,Ritonavir,NS1_DEN2B Dengue virus 2,4.7444213181734085
Q6YMS4,LIRYPHYGHXZJBZ-UHFFFAOYSA-N,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,Trametinib,NS1_DEN2B Dengue virus 2,4.741319462656976
