uniprot_accession,standard_inchi_key,canonical_smiles,compound_name,protein_fragment,avg_predictions
Q6YMS5,KJHKTHWMRKYKJE-SUGCFTRWSA-N,Cc1cccc(C)c1OCC(=O)NC(Cc1ccccc1)C(O)CC(Cc1ccccc1)NC(=O)C(C(C)C)N1CCCNC1=O,Lopinavir,NS3_DEN2B Dengue virus 2,4.870589405298234
Q6YMS5,NCDNCNXCDXHOMX-XGKFQTDJSA-N,CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,Ritonavir,NS3_DEN2B Dengue virus 2,4.848664343357086
Q6YMS5,RXBWRFDZXRAEJT-SZNOJMITSA-N,CC(C)C(NC(=O)c1ccc2ccccc2n1)C(=O)NC(Cc1ccccc1)C(O)CN1CCC(OCc2ccncc2)CC1C(=O)NC(C)(C)C,PALINAVIR,NS3_DEN2B Dengue virus 2,4.804148614406586
Q6YMS5,JTZZSQYMACOLNN-VDWJNHBNSA-N,COc1ccc2c(OC3CC4C(=O)NC5(C(=O)NS(=O)(=O)C6CC6)CC5C=CCCCCN(C)C(=O)C4C3)cc(-c3nc(C(C)C)cs3)nc2c1C,Simeprevir,NS3_DEN2B Dengue virus 2,4.650862067937851
Q6YMS5,VNIWZCGZPBJWBI-UHFFFAOYSA-N,Cn1c(N2CCCCS2(=O)=O)nc(C(=O)NCc2ccc(F)cc2)c(O)c1=O,BMS-707035,NS3_DEN2B Dengue virus 2,4.629618912935257
Q6YMS5,QHMBSVQNZZTUGM-ZWKOTPCHSA-N,C=C(C)C1CCC(C)=CC1c1c(O)cc(CCCCC)cc1O,Cannabidiol,NS3_DEN2B Dengue virus 2,4.620617061853409
Q6YMS5,WCWSTNLSLKSJPK-LKFCYVNXSA-N,CC1COC2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,Cabotegravir,NS3_DEN2B Dengue virus 2,4.6204462349414825
Q6YMS5,SPFYMRJSYKOXGV-UHFFFAOYSA-N,CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,Enrofloxacin,NS3_DEN2B Dengue virus 2,4.571027845144272
Q6YMS5,KXDIHAQCVNNLIB-UHFFFAOYSA-N,N#Cc1cc(Cl)cc(Oc2cc(OCc3[nH]nc4nc(N)ccc34)ccc2Cl)c1,MK-4965,NS3_DEN2B Dengue virus 2,4.544257283210754
Q6YMS5,REOZWEGFPHTFEI-JKSUJKDBSA-N,C=C(C)C1CCC(C)=CC1c1c(O)cc(CCC)cc1O,Cannabidivarin,NS3_DEN2B Dengue virus 2,4.533713221549988
